Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,383930.55,121256.52,1228500.00,1143,0,171,0,311,0,199,0,17,0.4987690417642366,2568
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,6135236.82,965366.75,8609000.00,17050,0,8784,0,10753,0,3016,0,222,0.6508292717815821,35856
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2420138.66,1526779.46,18140500.00,25166,0,2561,0,47814,0,5706,0,499,0.8296100473254837,73356
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,805962.08,1030511.99,148945500.00,14240,2117,0,2392,14794,746,7086,265,310,0.8734757983675301,88332
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,1910621.16,1262347.01,161834400.00,17010,0,2647,0,15600,0,7523,0,315,0.8630317881814259,90684
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,949082.03,904260.00,149632600.00,14392,2519,0,3840,14450,614,6570,268,296,0.8589283240559167,79500
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,754365.34,604760.00,137580000.00,10549,1820,0,1807,11130,695,5934,178,261,0.8934957821719435,69324
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,922776.70,669120.00,147159600.00,12345,1719,0,2733,13207,541,5657,214,262,0.8805162788703089,70644
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,503292.88,248160.00,161037800.00,5818,8440,0,2302,2679,11766,6231,246,288,0.8784510351839343,73944
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,7170991.73,0.00,0,5585,0,890,0,4635,0,2281,53,0.8470360503826394,26988
